TDS,DEVELOPMENT,BOROUGH,LAT,LON,TOTAL_POP,POP14_18,POP18_24,POP_60_UP,HAS_ECO_HUB,AREA_FLOOD,AREA_BUILD,BUILT,OUTREACH,TDS_OUTREACH,ETT_OUTREACH,RECRUITMENT,TDS_RECRUITMENT,ETT_RECRUITMENT
234.0,TAYLOR STREET-WYTHE AVENUE,BROOKLYN,40.7042113,-73.965015,1165.0,,107.0,,0.0,0.0,2.60626273476747,0,0.0,NaN,NaN,0.0,60.0,36.0
235.0,BRYANT AVENUE-EAST 174TH STREET,BRONX,40.8358826,-73.885564,140.0,,18.0,,0.0,0.0,0.066987,0,0.0,NaN,NaN,0.0,59.0,22.0
236.0,COLLEGE AVENUE-EAST 165TH STREET,BRONX,40.8291396,-73.91538,104.0,,0.0,,0.0,0.0,0.163955,0,0.0,NaN,NaN,0.0,59.0,20.0
237.0,EAST 152ND STREET-COURTLANDT AVENUE,BRONX,40.818701,-73.917614,369.0,,37.0,,0.0,0.0,0.688112,0,0.0,NaN,NaN,0.0,59.0,17.0
238.0,CONEY ISLAND I (SITE 8),BROOKLYN,40.573631,-74.000656,313.0,,45.0,,0.0,1.554806,0.934434,0,0.0,68.0,10.641709123877513,0.0,68.0,12.0
239.0,CONEY ISLAND I (SITE 1B),BROOKLYN,40.5750484,-73.987067,474.0,,49.0,,0.0,2.191308,1.66793082118236,0,0.0,NaN,NaN,0.0,68.0,17.0
240.0,"UNITY PLAZA (SITES 17,24,25A)",BROOKLYN,40.6681972,-73.896714,435.0,,75.0,,0.0,0.0,1.08242004930921,0,0.0,NaN,NaN,0.0,72.0,22.0
241.0,ROBINSON,MANHATTAN,40.806912,-73.936467,409.0,,51.0,,0.0,0.0,0.778105,0,0.0,NaN,NaN,0.0,74.0,13.0
242.0,104-14 TAPSCOTT STREET,BROOKLYN,40.6651254,-73.920422,60.0,,9.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,19.0
243.0,BORINQUEN PLAZA I,BROOKLYN,40.7044289,-73.942822,1051.0,,128.0,,0.0,0.0,2.53851651779993,0,0.0,NaN,NaN,0.0,60.0,31.0
245.0,RANDALL AVENUE-BALCOM AVENUE,BRONX,40.8221651,-73.82807,270.0,,0.0,,0.0,0.0,3.16867611268274,0,0.0,NaN,NaN,0.0,74.0,33.0
246.0,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,BRONX,40.852675,-73.918168,155.0,,0.0,,0.0,0.0,0.479256,0,0.0,NaN,NaN,0.0,74.0,41.0
252.0,GARVEY (GROUP A),BROOKLYN,40.669999,-73.915378,828.0,,108.0,,0.0,0.0,1.60678841264959,0,0.0,72.0,10.7554745271561,0.0,72.0,9.0
256.0,ATLANTIC TERMINAL SITE 4B,BROOKLYN,40.6829912,-73.970236,575.0,,58.0,,0.0,0.0,1.32794522647943,0,0.0,NaN,NaN,0.0,72.0,33.0
260.0,FHA REPOSSESSED HOUSES (GROUP V),BROOKLYN,40.6911145,-73.776501,58.0,,4.0,,0.0,0.0,1.69337550136279,0,0.0,NaN,NaN,0.0,NaN,NaN
